,,Real effective exchange rate (index; narrow definition; 27 economies) - Australia - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Austria - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Belgium - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Canada - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Chinese Taipei - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Denmark - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Euro area - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Finland - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - France - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Germany - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Greece - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Hong Kong SAR - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Ireland - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Italy - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Japan - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Korea - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Mexico - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Netherlands - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - New Zealand - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Norway - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Portugal - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Singapore - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Spain - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Sweden - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Switzerland - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - United Kingdom - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - United States - BIS - Monthly
Date string,,Australia,Austria,Belgium,Canada,Chinese Taipei,Denmark,Euro area,Finland,France,Germany,Greece,Hong Kong SAR,Ireland,Italy,Japan,Korea,Mexico,Netherlands,New Zealand,Norway,Portugal,Singapore,Spain,Sweden,Switzerland,United Kingdom,United States
2013-01-31,2013-01-31,128.2,97.01,98.87,125.42,91.61,99.39,103.63,100.06,102.37,100.51,111.81,78.53,109.4,105.73,111.41,97.36,133.5,97.54,105.07,129.03,102,108.12,103.66,120.67,95.74,104.51,77.5
2013-02-28,2013-02-28,126.78,97.11,99.22,124.3,91.44,100.5,105.16,100.55,102.76,101.37,110,79.77,110.78,105.91,106.21,96.74,133.6,98.52,106.43,129.09,101.77,109.17,103.89,123.03,96.17,101.65,78.6
2013-03-31,2013-03-31,128.73,97.12,98.36,122.71,90.85,99.44,104.55,99.89,102.65,100.68,112.02,80.64,109.71,105.06,105.47,96.33,137.17,98.67,105.93,126.53,102.81,109.14,103.32,124.39,95.16,100.68,79.52
2013-04-30,2013-04-30,129.69,97.5,98.53,123.26,91.89,99.53,104.86,100.46,102.7,100.42,112.75,81.7,109.84,105.28,102.49,95.14,141.15,99.06,108.67,126.78,102.82,108.73,103.88,122.92,95.97,102.35,79.15
2013-05-31,2013-05-31,124.46,97.64,98.64,123.39,93.06,99.82,105.36,100.62,102.72,101,112.41,82.27,109.66,105.27,99.59,96.85,139.54,99.04,107.38,126.95,102.87,108.75,104.02,121.29,94.37,102.86,79.91
2013-06-30,2013-06-30,118.3,97.75,99.09,121.99,92.12,100.2,106.5,101.12,103.11,101.5,112.43,81.69,110.39,105.86,103.33,93.61,132,98.9,103.93,124.25,102.98,107.31,104.37,120.03,95.56,102.72,80.38
2013-07-31,2013-07-31,116.34,97.13,99.08,121.12,92.8,100.26,106.02,101,102.69,101.97,110.41,82.96,110.21,105.91,101.55,95.61,134.29,99.72,105.51,122.79,102.82,107.61,103.79,120.71,95.16,101.78,80.96
2013-08-31,2013-08-31,113.8,97.21,99.14,120.64,91.78,100.54,106.74,101.06,103.32,102.15,108.62,80.18,110.69,106.47,102.88,95.73,132.29,99.73,105.51,122.02,101.94,107.1,104.18,120.41,95.57,102.86,80.4
2013-09-30,2013-09-30,116.5,97.87,99.02,121.18,93.52,100.23,106.53,101.11,102.88,101.88,111.17,79.98,110.17,105.93,100.76,98.47,130.77,99.56,107.23,121.21,102.49,107.13,103.78,120.6,95.36,105,80.05
2013-10-31,2013-10-31,118.24,98.25,99.44,120.44,92.94,100.91,107.59,101.86,103.18,102.21,111.46,81.03,110.88,106.18,101.3,98.57,131.67,99.77,108.1,119.94,102.57,107.68,104.61,119.96,95.99,104.94,78.91
2013-11-30,2013-11-30,117.03,98.14,99.41,119.48,92.71,100.83,107.13,101.83,103.01,102.36,109.8,81.77,110.26,105.74,99.52,100.02,132.96,99.12,108.31,118.99,102.24,109.02,104.76,118.04,95.87,106.21,79.39
2013-12-31,2013-12-31,112.85,98.83,99.79,117.25,92.42,101.04,108.85,102.63,103.59,103.26,110.78,82.29,110.81,106.15,95.83,101.28,134.35,99.47,108.84,116.48,102.55,107.75,104.9,117.71,96.58,107.37,79.36
2014-01-31,2014-01-31,112.18,98.4,100.13,114.63,92.08,101.44,107.34,102.73,103.25,102.71,109.79,83.34,110.17,106.68,95.89,101.45,133.56,99.42,110.65,117.12,101.71,107.44,103.79,118.7,96.28,108.59,80.67
2014-02-28,2014-02-28,113.2,98.12,99.92,113.75,90.49,101.73,107.26,102.64,103.52,102.96,108.03,83.1,110.33,106.18,97.46,100.73,132.64,99.49,110.16,117.87,101.19,107.39,103.39,118.24,96.89,109.07,80.69
2014-03-31,2014-03-31,113.64,98.97,99.88,112.92,89.74,101.4,108.77,102.81,103.93,103.12,110.47,82.27,111.29,106.18,96.45,100.09,132.96,100.34,112.31,118.82,102.39,106.84,103.42,117.77,97.22,107.98,80.47
2014-04-30,2014-04-30,115.84,98.9,99.24,113.9,90.03,101.35,108.09,102.82,103.54,102.54,110.52,82.34,110.83,106.01,97.57,102.03,133.35,100.51,111.9,119.56,102.22,106.33,104.08,115.42,96.74,108.89,79.98
2014-05-31,2014-05-31,115.55,99.07,98.87,115.17,89.89,100.95,106.93,102.26,103.3,102.02,109.35,81.99,110.11,105.62,98.38,103.69,133.79,99.85,111.73,120.64,101.98,106.59,103.9,115.27,96.58,109.7,79.84
2014-06-30,2014-06-30,116.72,98.75,98.56,115.83,90.94,100.72,105.98,102.05,102.85,101.78,109.68,82.29,109.54,105.3,98.07,104.36,133.41,99.13,112.05,118.92,101.83,106.52,103.59,114.31,96.19,111.03,80.15
2014-07-31,2014-07-31,117.43,98.13,98.54,116.94,91.09,101.05,104.9,101.99,102.35,102,108.18,83.09,108.95,105.05,98.69,104.48,133.89,99.79,113.18,117.89,101.28,107.03,102.49,112.52,96.26,112.58,80.12
2014-08-31,2014-08-31,117.73,97.8,97.83,115.33,92.13,100.59,104.25,101.81,102.57,101.6,106.59,81.76,108.64,104.95,98.37,105.17,133.39,99.44,110.93,118.9,100.86,108.01,102.42,112.57,96.1,111.8,80.98
2014-09-30,2014-09-30,116.78,98.1,97.23,115.22,93.45,100.22,103.06,101.85,101.65,100.89,108.45,85.79,107.15,103.95,95.72,105.87,133.91,98.88,109.3,119.72,101.22,108.09,102.22,111.73,95.54,111.66,82.43
2014-10-31,2014-10-31,114.84,98.03,97.15,113.87,93.81,100.23,102.4,101.55,101.48,100.38,107.42,88.02,106.44,103.86,96.03,104.14,133.21,98.56,107.4,117.72,101.38,108.03,102.58,111.88,95.23,111.85,83.55
2014-11-30,2014-11-30,115.76,98.29,97.27,113.46,94.91,100.49,102.69,101.75,101.54,100.73,106.76,90.33,106.3,103.88,90.28,103.1,134.5,98.26,109.21,115.84,101.34,109.06,102.75,111.44,95.86,111.52,84.93
2014-12-31,2014-12-31,112.01,98.47,97.31,111.92,94.04,100.83,102.93,102.12,101.82,100.85,106.35,91.91,105.97,104.08,89.15,104.53,128.19,98.25,110.62,109.78,101.59,108.97,102.29,109.98,95.51,112.12,86.72
2015-01-31,2015-01-31,112.56,96.88,96.45,108.23,93.55,99.94,97.13,100.82,99.98,98.32,104.18,93.38,102.91,102.72,91.99,109.12,128.1,96.53,111.49,109.68,100.49,109.04,100.22,108.46,103.54,113.34,89.18
2015-02-28,2015-02-28,109.49,96.03,95.66,105.31,94.85,99.62,95.34,99.97,99.5,97.73,102.49,94.85,101.67,101.86,92.12,108.49,126.56,95.84,110.11,112.74,99.63,108.17,99.38,106.88,105.3,116.23,90.84
2015-03-31,2015-03-31,110.47,95.93,94.15,105.5,96.14,97.93,93.3,98.66,98.71,96.45,103.68,96.06,99.82,100.35,92.19,108.8,124.74,95.38,111.88,110.33,100.53,108.06,98.7,107.93,103.4,116.64,93.01
2015-04-30,2015-04-30,109.87,95.6,94.04,107.2,97.23,97.47,92.87,98.23,98.24,96.26,103.54,94.54,99.22,99.94,92.62,110.9,123.72,95.49,113.19,111.84,100.27,108.73,99.16,106.25,104.8,116.29,92.56
2015-05-31,2015-05-31,110.96,96.03,94.55,108.6,97.79,97.84,94.52,98.42,98.82,97.04,102.96,92.98,100.53,100.45,90.52,108.89,121.63,96.1,108.58,113.99,100.64,109.04,99.86,107.12,105.64,117.32,91.66
2015-06-30,2015-06-30,109.3,96.32,94.93,107.13,98.32,98.09,95.24,98.74,98.94,97.39,103.86,93.57,101.07,100.91,88.25,107.5,120.28,95.97,103.79,110.24,100.58,108.53,100.32,107.68,105.44,118.08,92.64
2015-07-31,2015-07-31,106.58,95.71,94.59,103.74,98.45,98.27,93.9,98.43,98.28,97.35,102.42,95.45,100.14,100.61,89.78,105.79,117.65,96.41,100.77,108.17,99.98,108.21,99.22,106.61,104.31,120.31,94.89
2015-08-31,2015-08-31,105.36,96.03,95.22,101.71,96.31,98.87,95.65,99.41,99.22,98.08,102.59,94.43,101.49,101.49,90.65,103.21,113.85,96.69,99.74,106.08,100,106.08,99.33,105.67,102.09,120.35,95.81
2015-09-30,2015-09-30,101.91,96.69,95.75,100.68,95.1,99.15,96.81,99.74,99.24,98.49,104.93,96.44,101.78,101.55,93.16,101.95,112.35,96.92,96.67,105.39,101.17,104.45,99.41,107.76,101.13,117.55,95.79
2015-10-31,2015-10-31,103.54,96.54,95.96,101.99,95.21,98.76,96.57,99.65,99.08,98.24,104.44,97.45,101.41,101.52,92.56,105.21,114.38,96.65,100.93,105.62,100.98,104.32,99.9,108.11,101.28,117.13,94.7
2015-11-30,2015-11-30,105.21,96.22,95.27,101.29,95.92,97.85,93.35,98.77,98.15,96.43,103.09,99.72,99.2,100.3,91.95,106.45,115.81,95.25,100.73,105.31,100.42,105.6,99.75,107.58,100.56,120.44,96.65
2015-12-31,2015-12-31,106.25,97.11,95.69,97.85,94.5,98.24,94.92,99.11,98.94,97.12,103.73,99.7,100.21,100.86,92.82,104.74,113.78,95.72,103.13,103.09,100.52,106,99.9,109.32,100.89,117.8,97.08
2016-01-31,2016-01-31,103.77,97.08,96.76,95.14,92.74,99.19,94.79,99.59,98.89,97.35,102.75,100.32,100.52,101.67,96.51,103.11,108.26,95.58,101.47,103.73,100.71,105.08,98.94,110.01,100.77,113.84,99.7
2016-02-29,2016-02-29,103.99,97.23,97.15,97.77,93.71,100.34,96.28,100.08,99.5,98.2,102.7,99.98,101.85,101.81,98.6,100.7,105.6,96.53,101.6,105.29,100.49,105.43,98.87,109.08,100.68,111.32,98.5
2016-03-31,2016-03-31,107.81,97.33,97.29,101.64,93.43,99.25,96.52,99.5,99.43,97.97,103.27,98.25,101.51,101.15,98.85,101.85,109.57,96.79,101.09,105.89,101.74,106.55,98.7,109.87,100.74,109.61,96.24
2016-04-30,2016-04-30,108.36,97.35,97.62,104.19,92.65,99.44,97.25,99.73,99.58,98.22,103.99,95.52,102.21,101.12,100.49,103.38,108.99,96.99,101.52,107.44,101.94,106.45,99.48,110.78,101.16,108.07,94.61
2016-05-31,2016-05-31,103.83,97.35,97.56,103.85,91.91,99.47,97.45,99.5,99.63,98.51,103.28,95.96,102.22,101.12,101.73,101,104.54,96.76,101.4,107.84,101.77,104.52,99.67,109.45,99.74,110.1,95.94
2016-06-30,2016-06-30,104.75,97.03,97.38,104.27,92,99.32,96.92,99.29,99.42,98.19,103.84,95.04,102.56,100.84,104.84,101.02,101.31,96.12,104.34,107.84,101.67,105.94,99.93,108.72,100.94,107.84,96.5
2016-07-31,2016-07-31,107.69,96.57,97.61,103.35,93.01,99.74,96.82,99.33,99.08,98.6,102.09,96.11,102.71,101.07,106.55,103.6,102.45,96.76,106.08,108.65,101.34,106.21,99.37,107.63,100.97,101.21,97.08
2016-08-31,2016-08-31,108.04,96.47,97.73,103.1,93.21,99.54,97.35,99.53,99.58,98.64,101.71,95.12,102.94,101.42,108.49,105.5,102.67,97.05,106.29,108.93,101.13,105.55,99.6,107.45,100.92,99.93,96.02
2016-09-30,2016-09-30,107.54,97.11,97.58,102.32,93.91,99.24,97.71,99.76,99.35,98.79,103.5,95.59,102.53,101.23,107.73,106.28,99.33,96.73,107.49,110.38,101.86,104.42,99.61,106.45,100.4,100.26,96.9
2016-10-31,2016-10-31,109.48,97.24,97.85,101.61,96,99.5,98.08,99.92,99.23,98.74,103.89,97.08,102.02,101.02,107.14,105.61,101.76,96.98,106.1,113.56,101.92,103.08,100.76,105,100.49,95.1,97.73
2016-11-30,2016-11-30,110.37,97.33,97.73,100.62,97.32,99.49,96.81,100.07,99.07,97.78,102.71,99.16,101.2,100.66,104.22,104.18,97.31,96.48,108.1,112.87,101.29,103.26,101.09,103.45,101.31,98.08,100.47
2016-12-31,2016-12-31,109.71,97.33,97.09,101.82,98.03,98.62,96.07,99.49,98.66,97.72,103.07,101.47,100.01,100.35,98.05,104.82,96.38,95.96,109.06,111.88,100.67,103.62,101.04,104.77,100.44,100.67,102.35
2017-01-31,2017-01-31,111.11,97.31,98.15,103.39,98.51,99.12,95.63,99.01,98.74,97.43,102.44,101.04,99.98,101,98.34,105.83,93.63,95.91,110.13,112.49,100.46,103.82,100.82,106.88,101.45,98.79,102.96
2017-02-28,2017-02-28,113.02,96.91,97.89,103.57,99.33,99.14,94.84,98.74,98.24,97.23,101.46,99.74,99.86,100.78,98.77,108.44,98.37,95.98,110.3,113.71,99.89,103.51,99.85,107.22,101.8,99.81,100.96
2017-03-31,2017-03-31,112.07,97.32,98.02,100.95,99.23,99.01,95.94,98.76,98.83,97.36,103.15,99.4,100.52,100.64,98.18,108.7,103.87,96.28,106.75,110.94,101.53,103.84,99.57,106.33,101.18,98.29,99.84
2017-04-30,2017-04-30,109.8,97.07,97.65,100.41,99.26,98.65,95.73,98.65,98.32,97.23,103.33,99.07,100.26,100.53,100.49,107.29,106.46,96.28,105.5,109.41,101.88,103.02,100.01,105.62,100.6,100.22,98.76
2017-05-31,2017-05-31,107.41,97.82,98.38,98.7,99.69,99.4,97.84,99.38,99.19,98.33,102.98,97.95,101.5,101.2,97.66,107.46,105.85,96.79,104.67,108.23,102.01,102.87,100.57,105.36,100.2,100.94,98.2
2017-06-30,2017-06-30,108.34,98.05,98.58,100.3,99.26,99.72,99.07,99.79,99.55,99.14,103.94,96.9,102.39,101.41,97.99,105.68,109.35,96.91,107.83,108.04,101.75,102.86,100.91,105.29,100.76,98.66,96.54
2017-07-31,2017-07-31,111.15,98,99.29,104.57,98.51,100.96,100.24,99.57,99.69,100.34,102.53,96.58,103.47,102.09,95.59,105.13,111.25,98.13,108.6,109.94,101.41,103.09,100.58,108.41,99.76,98.53,94.74
2017-08-31,2017-08-31,111.61,98.25,99.74,104.8,97.68,100.98,102.27,100.17,100.7,101.12,102.32,95.26,104.98,102.91,96.97,104.31,111.05,98.75,106.33,110.53,101.51,102.91,101.07,109.12,97.32,96.81,93.59
2017-09-30,2017-09-30,111.89,99.24,99.65,107.17,97.5,100.7,102.57,100.34,100.51,101.11,104.31,94.41,104.26,102.59,95.71,103.7,110.53,98.48,104.77,110.78,102.41,103.14,101.19,109.1,96.72,98.79,93.08
2017-10-31,2017-10-31,110.7,99.41,99.8,105.31,98.8,100.76,102.33,100.32,100.42,100.81,104.25,95.89,103.79,102.19,94.58,104.78,105.96,98.43,103.02,110,102.45,102.88,102.04,107.98,95.92,99.15,95.06
2017-11-30,2017-11-30,108.55,99.71,100,104.2,99.37,100.83,102.01,100.91,100.56,100.33,103.46,95.92,103.49,102.01,94.81,106.94,106.32,98.3,101.13,108.01,102.02,103.62,102.59,105.79,95.08,99.95,95.11
2017-12-31,2017-12-31,108.32,100,100.15,103.62,99.03,100.52,102.74,100.92,100.82,100.82,103.77,95.5,103.52,102.38,94.38,108.58,105.64,98.21,101.83,105.4,101.82,103.63,102.5,105.29,94.58,100.83,94.64
2018-01-31,2018-01-31,110.7,99.92,101.05,106.02,98.82,100.92,102.9,101.08,101.35,100.92,102.48,93.78,103.78,103.39,94.65,109,106.16,98.66,103.9,108.16,101.37,103.7,101.87,106.45,95.29,101.38,93.13
2018-02-28,2018-02-28,108.5,99.91,101.04,104.65,99.11,101.56,103.09,101.31,101.16,101.11,102.33,93.73,104.75,103.24,96.44,107.09,107.45,99.03,104.03,109.02,100.53,103.07,101.91,105.75,97.12,101.78,92.36
2018-03-31,2018-03-31,106.62,100.19,100.83,101.81,97.66,101.03,104.19,101.42,101.89,101.35,103.48,92.88,104.71,103.17,97.64,107.19,107.6,98.82,103.27,110.01,102.06,102.93,101.5,102.86,95.56,101.3,92.53
2018-04-30,2018-04-30,105.81,100.12,100.77,103.34,98,101.33,104.19,101.5,101.66,101.32,104.06,93.11,103.88,102.88,96.04,107.86,108.45,99.09,103.48,109.82,102.24,102.5,101.98,100.8,93.71,102.52,92.6
2018-05-31,2018-05-31,105.65,99.37,99.97,103.1,97.74,100.54,102.86,100.65,101.07,100.95,102.87,94.75,102.88,102.08,95.86,109,102.17,98.35,101.38,109.37,101.86,102.97,102.1,100.18,93.57,100.88,95.89
2018-06-30,2018-06-30,106.05,99.18,99.84,101.53,98.14,100.03,102.27,100.54,100.78,100.7,103.72,95.48,102.54,101.98,96.1,107.64,99,97.73,102.16,110.8,101.74,102.94,102.17,100.81,95.07,100.29,97.57
2018-07-31,2018-07-31,105.42,98.93,100.11,101.67,97.57,101.02,102.42,100.31,100.66,101.18,101.9,96.6,102.95,102.28,95.27,104.95,106.37,98.9,100.93,111.68,101.22,102.19,101.36,101.29,94.61,99.59,96.53
2018-08-31,2018-08-31,104.82,98.43,99.84,102.34,96.87,100.5,101.69,100.33,100.74,100.72,101.16,96.74,102.6,102.2,96.44,106.21,108.01,98.64,99.83,109.79,100.59,102.33,101.14,99.28,95.86,98.65,96.4
2018-09-30,2018-09-30,102.78,99.18,100.03,101.67,96.72,99.94,102.41,100.6,100.62,101.12,103.29,96.72,102.48,101.77,95.17,106.88,107.21,98.31,98.83,110.17,101.73,101.67,101.44,99.84,97.03,99.2,96.21
2018-10-31,2018-10-31,102.35,99.26,100.24,102.43,96.91,99.68,101.69,100.34,100.2,100.63,103.73,97.78,101.51,101.24,95.26,106.12,107.21,98.13,98.55,111.02,101.12,101.32,102.02,99.74,95.47,99.86,96.91
2018-11-30,2018-11-30,105.18,99.59,100.49,101.26,97.22,99.51,100.74,100.35,100.07,99.94,102.29,98.42,100.92,101.14,95.41,106.72,102.91,97.93,102.31,109.79,100.83,102.5,102.09,100.82,95.68,100.5,98.43
2018-12-31,2018-12-31,104.02,99.81,100.44,99.5,96.68,99.35,101.14,100.39,100.32,100.17,102.57,98.67,101.32,101.22,96.25,106.69,104.62,98.08,103.22,107.76,100.84,102.97,101.8,101.69,96.37,98.83,98.12
2019-01-31,2019-01-31,103.16,99.56,100.6,100.02,95.73,100.14,99.73,100.27,100.12,99.37,101.07,97.8,100.59,101.63,99,105.96,109.51,98.39,102.28,108.36,100.19,103.32,100.76,101.34,96.52,99.88,96.99
2019-02-28,2019-02-28,103.1,99.03,100.39,101.31,96.87,100.35,99.26,100.45,99.66,99.3,100.75,98.46,100.63,101.24,97.43,106.43,109.13,98.76,103.35,109.27,99.57,104.03,100.59,99.25,95.74,101.51,97.25
2019-03-31,2019-03-31,102.22,99.34,100.09,100.37,96.1,99.6,99.53,100.03,99.91,99.09,102.11,97.98,100.66,100.93,96.55,105.21,108.87,98.57,103.5,108.99,100.82,104.02,100.29,98.63,95.9,102.58,97.79
2019-04-30,2019-04-30,102.89,98.76,99.53,100.26,96.77,99.13,99.63,99.93,99.6,99.5,102.58,98.84,100.39,100.47,96.22,104.38,109.92,98.63,101.69,109.8,100.72,103.41,100.75,98.81,95.2,101.9,97.97
2019-05-31,2019-05-31,101.13,98.96,99.51,100.1,95.86,99.29,99.86,100,99.65,99.7,101.57,98.96,100.16,100.4,98.38,100.91,108.81,98.49,100.25,108.17,100.72,103.27,100.93,96.75,95.56,100.98,98.73
2019-06-30,2019-06-30,100.68,98.9,99.57,100.97,95.34,99.12,100.61,100.09,100.02,100.2,102.08,99.27,100.85,100.58,99.43,100.95,107.63,98.54,100.52,108.65,100.81,102.91,100.87,97.71,96.92,98.76,98.18
2019-07-31,2019-07-31,101.74,98.17,99.36,102.95,96.13,99.7,99.64,99.36,99.61,100.37,100.43,100.28,100.31,100.33,99.52,100.53,109.4,99.32,102.2,110.32,99.51,102.75,100.11,98.76,97.26,97.8,98.06
2019-08-31,2019-08-31,99.36,98.16,99.19,101.8,95.36,99.72,99.79,100,99.98,100.09,99.87,100.57,100.67,100.61,102.58,98.15,106.09,99.75,99.52,106.42,99.35,102.07,99.96,96.86,98.75,96.32,99.35
2019-09-30,2019-09-30,100.19,98.38,98.46,101.51,96.59,98.8,98.7,99.61,99.31,99.66,101.77,100.79,99.71,99.66,101.35,100.08,106.96,98.7,98.26,106.68,100.34,102.38,99.69,97.09,97.89,98.55,99.48
2019-10-31,2019-10-31,99.68,98.66,98.71,101.82,97.55,99.12,98.74,99.73,99.09,99.52,101.72,100.63,99.22,99.43,100.38,100.87,108.49,99.01,97.8,104.77,100.02,102.31,100.57,96.08,96.84,100.11,98.88
2019-11-30,2019-11-30,100.44,99,98.79,101.28,97.81,98.7,97.88,99.54,99.18,98.65,101.19,100.56,98.94,99.27,99.56,101.69,109.57,98.58,98.81,104.82,99.88,103.25,100.79,97.58,96.76,102.54,98.67
2019-12-31,2019-12-31,101.14,99.4,98.67,101.6,98.31,98.05,98.04,99.31,99.4,98.97,101.61,100.34,99.01,99.22,98.87,101,111.07,98.38,101.54,104.91,99.53,103.38,100.43,99.32,97.13,103.57,97.78
2020-01-31,2020-01-31,101.22,99.07,99.5,102.29,99.64,98.84,96.78,99.21,99.08,98.81,100.01,98.53,98.25,99.44,98.54,102,113.31,97.67,102.24,106.62,99.08,103.55,99.59,97.67,98.84,103.65,97.74
2020-02-29,2020-02-29,99.2,98.71,98.97,101.3,99.16,99.05,95.84,99.15,98.57,98.54,99.22,102.63,97.9,98.81,98.66,100.59,113.92,97.81,100.56,103.92,98.22,101.54,99.11,97.65,99.44,104.45,99.03
2020-03-31,2020-03-31,92.06,99.6,99.72,97.03,99.01,100.18,99.51,100.37,99.58,100.08,101.5,103.15,100.23,99.88,102.05,98.63,96.04,99.13,96.89,94.37,100.24,99.41,99.48,95.88,100.98,98.74,103.21
2020-04-30,2020-04-30,93.26,99.36,99.38,96.76,100.02,99.8,99.03,99.73,99.19,99.82,100.73,104.56,99.28,99.66,102.92,98.91,88.33,99.22,96.51,94.22,100.28,98.77,99.52,95.07,100.51,100.43,105.43
2020-05-31,2020-05-31,95.71,98.77,99.36,97.43,100.06,99.38,98.93,99.35,99.43,99.88,100.05,103.82,98.95,99.51,103.03,97.89,91.66,99.1,96.86,96.8,99.88,99.43,99.59,98.12,100.38,99.17,104.25
2020-06-30,2020-06-30,99.55,99.53,99.77,99.9,100.35,99.44,100.63,99.59,99.86,100.47,100.24,101.95,100.19,99.98,100.2,98.26,95.87,99.82,99.74,99.53,100.75,99.54,100.24,99.93,99.56,98.26,101.42
2020-07-31,2020-07-31,101.29,100.22,100.27,99.58,100.36,100.51,100.92,100.12,100.74,99.89,98.85,98.22,100.57,100.21,100.18,97.93,95.25,101.39,100.88,101.08,99.87,98.94,99.66,101.73,100.04,98.59,101.07
2020-08-31,2020-08-31,102.93,100.41,100.88,100.63,99.19,100.73,101.94,100.57,101.14,100.61,98.5,98.58,101.53,101.1,99.45,98.08,95.78,101.4,99.36,102.11,99.8,99.43,100.09,102.76,100.51,99.54,99.44
2020-09-30,2020-09-30,103.77,100.85,100.59,100.44,99.44,100.74,101.8,100.7,100.63,100.61,100.59,96.33,101.04,100.37,99.43,99.24,98.27,101.19,100.36,100.59,100.84,99.99,100.3,101.57,100.11,98.83,98.99
2020-10-31,2020-10-31,102.08,100.77,100.53,100.64,101.15,100.69,101.46,100.5,100.25,100.45,100.57,98.54,100.11,100.24,99.1,101.28,100.42,101.48,100.03,99.17,100.62,99.3,100.57,101.57,100.24,98.77,98.2
2020-11-30,2020-11-30,103.51,100.94,100.36,101.51,100.91,100.4,100.76,100.2,100.47,100.15,99.61,97.87,100.35,100.12,98.81,103.3,104.6,100.58,102.57,99.81,100.27,100.03,100.72,103.28,99.66,99.99,96.63
2020-12-31,2020-12-31,105.43,101.78,100.7,102.49,100.7,100.24,102.39,100.51,101.05,100.71,100.12,95.83,101.6,100.68,97.62,103.9,106.56,101.2,104,101.77,100.15,100.08,101.14,104.77,99.75,99.57,94.59
2021-01-31,2021-01-31,107.75,100.2,100.63,103.3,101.3,100,101.84,100.15,100.59,101.57,98.24,96.61,101.07,100.83,97.56,103.66,107.18,100.29,104.72,104.71,99.41,99.93,100.59,104.66,99.62,100.54,94.29
2021-02-28,2021-02-28,108.6,100.22,100.29,103.89,102.4,100.11,101.19,99.99,100.1,101.71,98.05,96.94,100.68,100.46,95.94,103.22,105.55,100.62,105.78,105.89,98.76,100.46,99.57,104.44,98.71,102.55,95.13
2021-03-31,2021-03-31,109.13,100.78,99.86,105.24,101.69,99.41,101.24,99.75,100.03,101.53,98.7,97.9,100.37,100.05,93.52,102.69,103.68,100.18,105.24,106.29,99.45,100.49,99.88,102.81,96.13,103.53,96.69
2021-04-30,2021-04-30,108.59,100.36,99.89,105.37,101.99,99.33,101.58,99.81,99.76,101.51,99.22,97.62,100.75,100.1,91.56,103.46,107.12,100.35,105.03,107.41,99.33,100.31,100.76,102.54,96.2,103.12,96.1
2021-05-31,2021-05-31,108.44,100.56,99.99,108.18,102.51,99.41,102.04,99.85,100.03,101.71,98.81,96.27,100.92,100.04,90.72,101.85,106.52,100.41,105.83,106.67,99.34,100.47,101.14,102.93,97.06,103.97,95.41
2021-06-30,2021-06-30,107.15,100.63,99.75,107.13,103.35,99.05,101.38,99.4,99.67,101.46,99.35,96.25,100.32,99.63,89.89,101.98,106.38,100.1,105.36,105.95,99.09,100.2,101.24,102.88,96.82,104.34,96.53
2021-07-31,2021-07-31,105.26,100.33,100.02,105.1,103.54,99.55,100.16,99.21,99.13,101.29,97.56,97.45,99.7,99.53,90.76,100.82,107.36,99.98,105.78,104.21,98.6,99.15,99.96,102.07,97.01,104.15,98.01
2021-08-31,2021-08-31,103.7,100.08,100.09,104.56,104.58,98.96,99.86,99.15,99.33,100.86,97.08,97.06,99.74,99.49,91.06,99.75,106.9,99.99,106.69,103.37,97.99,99.56,100.03,102.04,97.65,104.86,98.28
2021-09-30,2021-09-30,103.92,100.41,99.68,103.89,105.06,98.74,100.22,99.12,98.91,101.04,99.29,94.55,100.09,99.13,90.93,98.81,107.55,99.88,108.16,106.43,98.6,100.44,100.75,102.51,96.47,104.25,98.3
